Test Number,Download Speed (Mbit/s),Upload Speed (Mbit/s),Server
205,50.96,34.96,speedtest.power-speed.at:8080
206,49.99,34.71,speedtest.power-speed.at:8080
207,50.73,30.02,speedtest.power-speed.at:8080
208,47.26,34.44,speedtest.power-speed.at:8080
209,41.37,32.95,speedtest.t-2.net:8080
210,8.68,2.08,speedtest.citycom-austria.com:8080
211,2.74,2.08,speedtest.t-2.net:8080
212,3.23,0.0,speedtest.citycom-austria.com:8080
213,47.41,29.03,speedtest-lj.telekom.si:8080
214,52.16,34.51,speedtest.citycom-austria.com:8080
215,46.68,33.82,speedtest.t-2.net:8080
216,42.72,33.68,speedtest.power-speed.at:8080
217,49.77,29.3,speedtest.citycom-austria.com:8080
218,35.24,20.92,speedtest.power-speed.at:8080
219,39.03,6.43,speedtest.citycom-austria.com:8080
220,4.03,2.79,speedtest.citycom-austria.com:8080
221,1.87,7.74,speedtest.t-2.net:8080
222,10.59,2.91,speedtest.citycom-austria.com:8080
223,2.35,2.07,speedtest.citycom-austria.com:8080
224,49.33,16.04,speedtest.t-2.net:8080
225,39.95,11.29,speedtest.citycom-austria.com:8080
226,14.37,3.33,speedtest.citycom-austria.com:8080
227,0.0,0.0,speedtest.citycom-austria.com:8080
228,1.87,1.66,speedtest.bostjan.eu:8080
229,2.07,2.91,speedtest.citycom-austria.com:8080
230,2.55,0.0,speedtest.citycom-austria.com:8080
231,50.12,33.71,speedtest-lj.telekom.si:8080
232,-1,-1,-1
233,-1,-1,-1
234,-1,-1,-1
235,-1,-1,-1
236,-1,-1,-1
237,-1,-1,-1
238,-1,-1,-1
239,-1,-1,-1
240,-1,-1,-1
241,-1,-1,-1
242,-1,-1,-1
243,-1,-1,-1
244,-1,-1,-1
245,-1,-1,-1
246,-1,-1,-1
247,-1,-1,-1
248,-1,-1,-1
249,-1,-1,-1
250,-1,-1,-1
251,-1,-1,-1
252,-1,-1,-1
253,-1,-1,-1
254,-1,-1,-1
255,-1,-1,-1
256,-1,-1,-1
257,-1,-1,-1
258,2.75,2.08,speedtest.citycom-austria.com:8080
259,2.95,2.08,speedtest.power-speed.at:8080
260,3.63,2.9,speedtest.citycom-austria.com:8080
261,2.95,2.49,speedtest.citycom-austria.com:8080
262,3.63,2.91,speedtest.power-speed.at:8080
263,2.75,2.08,speedtest.t-2.net:8080
264,2.96,2.08,speedtest.power-speed.at:8080
265,3.63,2.08,speedtest.citycom-austria.com:8080
266,2.08,1.66,speedtest.citycom-austria.com:8080
267,2.62,3.32,speedtest.power-speed.at:8080
268,2.95,2.5,speedtest.power-speed.at:8080
269,1.46,0.0,speedtest.citycom-austria.com:8080
270,52.04,33.29,speedtest-lj.telekom.si:8080
271,49.45,34.17,speedtest.citycom-austria.com:8080
272,50.5,35.21,speedtest.citycom-austria.com:8080
273,39.23,25.14,speedtest.citycom-austria.com:8080
274,6.28,2.08,speedtest.citycom-austria.com:8080
275,1.86,2.08,speedtest.t-2.net:8080
276,36.88,26.9,speedtest.t-2.net:8080
277,47.31,35.1,speedtest.citycom-austria.com:8080
278,47.9,32.68,speedtest.citycom-austria.com:8080
279,47.14,23.08,speedtest.citycom-austria.com:8080
280,37.54,2.07,speedtest.power-speed.at:8080
281,12.76,5.95,speedtest.t-2.net:8080
282,2.55,0.0,speedtest.t-2.net:8080
283,32.48,4.17,speedtest.bostjan.eu:8080
284,2.51,2.49,speedtest.citycom-austria.com:8080
285,0.0,0.0,speedtest-lj.telekom.si:8080
286,-1,-1,-1
287,-1,-1,-1
288,-1,-1,-1
289,-1,-1,-1
290,-1,-1,-1
291,-1,-1,-1
292,-1,-1,-1
293,-1,-1,-1
294,-1,-1,-1
295,-1,-1,-1
296,-1,-1,-1
297,-1,-1,-1
298,-1,-1,-1
299,-1,-1,-1
300,-1,-1,-1
301,-1,-1,-1
302,4.43,34.84,speedtest.t-2.net:8080
303,-1,-1,-1
304,-1,-1,-1
305,-1,-1,-1
306,-1,-1,-1
307,-1,-1,-1
308,-1,-1,-1
309,-1,-1,-1
310,-1,-1,-1
311,-1,-1,-1
312,-1,-1,-1
313,-1,-1,-1
314,-1,-1,-1
315,-1,-1,-1
316,-1,-1,-1
317,-1,-1,-1
318,-1,-1,-1
319,-1,-1,-1
320,-1,-1,-1
321,-1,-1,-1
322,-1,-1,-1
323,-1,-1,-1
324,-1,-1,-1
325,-1,-1,-1
326,-1,-1,-1
327,-1,-1,-1
328,-1,-1,-1
329,1.91,0.0,speedtest.citycom-austria.com:8080
330,1.52,2.64,speedtest.t-2.net:8080
331,49.82,36.02,speedtest.citycom-austria.com:8080
332,35.39,32.01,speedtest.power-speed.at:8080
333,35.24,31.43,speedtest.power-speed.at:8080
334,48.26,34.24,speedtest.power-speed.at:8080
335,50.54,35.14,speedtest.power-speed.at:8080
336,49.59,36.11,speedtest.citycom-austria.com:8080
337,45.21,29.56,speedtest.citycom-austria.com:8080
338,52.3,35.17,speedtest.t-2.net:8080
339,48.85,31.54,speedtest.citycom-austria.com:8080
340,-1,-1,-1
341,43.84,33.98,speedtest.citycom-austria.com:8080
342,48.76,33.9,speedtest.citycom-austria.com:8080
343,47.66,35.63,speedtest.citycom-austria.com:8080
344,40.7,8.65,speedtest.power-speed.at:8080
345,36.47,25.74,speedtest.t-2.net:8080
346,45.85,32.95,speedtest.citycom-austria.com:8080
347,47.74,18.75,speedtest.citycom-austria.com:8080
348,36.5,1.05,speedtest.citycom-austria.com:8080
349,2.74,2.08,speedtest.citycom-austria.com:8080
350,2.95,2.49,speedtest.power-speed.at:8080
351,2.07,6.32,speedtest.power-speed.at:8080
352,3.96,2.08,speedtest.citycom-austria.com:8080
353,2.95,3.33,speedtest.citycom-austria.com:8080
354,2.95,2.91,speedtest.citycom-austria.com:8080
355,4.32,2.08,speedtest.citycom-austria.com:8080
356,2.75,0.42,speedtest.power-speed.at:8080
357,1.88,0.0,speedtest.t-2.net:8080
358,47.16,24.57,speedtest-lj.telekom.si:8080
359,38.23,23.18,speedtest.citycom-austria.com:8080
360,14.85,7.2,speedtest.citycom-austria.com:8080
361,35.82,34.77,speedtest.citycom-austria.com:8080
362,47.52,30.34,speedtest.citycom-austria.com:8080
363,49.05,34.02,speedtest.citycom-austria.com:8080
364,48.36,34.32,speedtest.citycom-austria.com:8080
365,44.1,15.42,speedtest.citycom-austria.com:8080
366,15.26,6.89,speedtest.power-speed.at:8080
367,4.44,1.25,speedtest.citycom-austria.com:8080
368,37.9,34.74,speedtest.t-2.net:8080
369,50.05,34.76,speedtest.power-speed.at:8080
370,46.1,33.91,speedtest.power-speed.at:8080
371,44.71,20.93,speedtest.power-speed.at:8080
372,38.51,10.03,speedtest.citycom-austria.com:8080
373,0.0,0.0,speedtest.t-2.net:8080
374,-1,-1,-1
375,-1,-1,-1
376,-1,-1,-1
377,-1,-1,-1
378,-1,-1,-1
379,-1,-1,-1
380,-1,-1,-1
381,-1,-1,-1
382,-1,-1,-1
383,-1,-1,-1
384,-1,-1,-1
385,-1,-1,-1
386,-1,-1,-1
387,-1,-1,-1
388,-1,-1,-1
389,-1,-1,-1
390,-1,-1,-1
391,-1,-1,-1
392,-1,-1,-1
393,-1,-1,-1
394,-1,-1,-1
395,-1,-1,-1
396,-1,-1,-1
397,-1,-1,-1
398,-1,-1,-1
399,-1,-1,-1
400,-1,-1,-1
401,-1,-1,-1
402,-1,-1,-1
403,-1,-1,-1
404,-1,-1,-1
405,-1,-1,-1
406,-1,-1,-1
407,-1,-1,-1
408,-1,-1,-1
409,-1,-1,-1
410,-1,-1,-1
411,-1,-1,-1
412,4.99,6.89,speedtest.citycom-austria.com:8080
413,3.54,0.0,speedtest.power-speed.at:8080
414,7.34,4.43,speedtest-lj.telekom.si:8080
415,53.22,32.11,speedtest.bostjan.eu:8080
416,-1,-1,-1
417,-1,-1,-1
418,-1,-1,-1
419,-1,-1,-1
420,50.98,34.39,speedtest.power-speed.at:8080
421,51.16,35.13,speedtest.citycom-austria.com:8080
422,41.32,35.75,speedtest.citycom-austria.com:8080
423,49.13,34.13,speedtest.t-2.net:8080
424,49.88,29.15,speedtest.t-2.net:8080
425,41.81,34.08,speedtest.citycom-austria.com:8080
426,48.98,23.65,speedtest.citycom-austria.com:8080
427,34.95,22.19,speedtest.power-speed.at:8080
428,35.83,29.67,speedtest.power-speed.at:8080
429,48.64,28.71,speedtest.citycom-austria.com:8080
430,42.2,27.22,speedtest.power-speed.at:8080
431,48.29,31.8,speedtest.t-2.net:8080
432,47.56,29.02,speedtest.citycom-austria.com:8080
433,-1,-1,-1
434,-1,-1,-1
435,-1,-1,-1
436,-1,-1,-1
437,-1,-1,-1
438,-1,-1,-1
439,-1,-1,-1
440,47.08,32.17,speedtest.t-2.net:8080
441,-1,-1,-1
442,-1,-1,-1
443,-1,-1,-1
444,49.72,34.96,speedtest.citycom-austria.com:8080
445,-1,-1,-1
